,link
Python Tutorial: Context Managers – Efficiently Managing Resources,http://www.youtube.com/embed/-aKFBoZpiqA?version=3&rel=1&fs=1&autohide=2&showsearch=0&showinfo=1&iv_load_policy=1&wmode=transparent
Channel Update: Look Back on the Year and Big Plans for 2018,http://www.youtube.com/embed/CtgkEaeOkew?version=3&rel=1&fs=1&autohide=2&showsearch=0&showinfo=1&iv_load_policy=1&wmode=transparent
Python Tutorial: Working with JSON Data using the json Module,http://www.youtube.com/embed/9N6a-VLBa2I?version=3&rel=1&fs=1&autohide=2&showsearch=0&showinfo=1&iv_load_policy=1&wmode=transparent
Python Tutorial: Web Scraping with BeautifulSoup and Requests,http://www.youtube.com/embed/ng2o98k983k?version=3&rel=1&fs=1&autohide=2&showsearch=0&showinfo=1&iv_load_policy=1&wmode=transparent
Python Tutorial: re Module – How to Write and Match Regular Expressions (Regex),http://www.youtube.com/embed/K8L6KVGG-7o?version=3&rel=1&fs=1&autohide=2&showsearch=0&showinfo=1&iv_load_policy=1&wmode=transparent
Linux/Mac Terminal Tutorial: How To Use The rsync Command – Sync Files Locally and Remotely,http://www.youtube.com/embed/qE77MbDnljA?version=3&rel=1&fs=1&autohide=2&showsearch=0&showinfo=1&iv_load_policy=1&wmode=transparent
Regular Expressions (Regex) Tutorial: How to Match Any Pattern of Text,http://www.youtube.com/embed/sa-TUpSx1JA?version=3&rel=1&fs=1&autohide=2&showsearch=0&showinfo=1&iv_load_policy=1&wmode=transparent
5 Essential Skills Every Well-Rounded Programmer Should Know,http://www.youtube.com/embed/TtIJEQ6D9DE?version=3&rel=1&fs=1&autohide=2&showsearch=0&showinfo=1&iv_load_policy=1&wmode=transparent
"Python Tutorial: How I Manage Multiple Projects, Virtual Environments, and Environment Variables",http://www.youtube.com/embed/cY2NXB_Tqq0?version=3&rel=1&fs=1&autohide=2&showsearch=0&showinfo=1&iv_load_policy=1&wmode=transparent
Python Tutorial: Generate Random Numbers and Data Using the random Module,http://www.youtube.com/embed/KzqSDvzOFNA?version=3&rel=1&fs=1&autohide=2&showsearch=0&showinfo=1&iv_load_policy=1&wmode=transparent
